parcel_id,farmer_id,project,country,area_ha,visit_date,trees_planted,trees_alive,survival_rate_pct,mortality_cause,status
P_PE_BAP_001,F_PE_001,Sample Reforestation Project A,Peru,2.10,2026-01-15,1800,1612,89.6,Pest/Disease,active
P_PE_BAP_002,F_PE_002,Sample Reforestation Project A,Peru,1.85,2026-01-18,1600,1488,93.0,,active
P_PE_RAP_001,F_PE_011,Sample Reforestation Project B,Peru,3.20,2026-01-22,2750,2402,87.3,Poor Planting Technique,active
P_PE_RAP_002,F_PE_012,Sample Reforestation Project B,Peru,2.40,2026-02-02,2100,1802,85.8,Animal Damage,active
P_CO_CVN_001,F_CO_001,Sample Reforestation Project C,Colombia,2.75,2026-02-05,2400,2208,92.0,,active
P_CO_CVN_002,F_CO_002,Sample Reforestation Project C,Colombia,1.95,2026-02-08,1700,1479,87.0,Flooding,active
P_CO_AAC_001,F_CO_021,Sample Agroforestry Project D,Colombia,2.20,2026-02-12,1900,1778,93.6,,active
P_CO_AAC_002,F_CO_022,Sample Agroforestry Project D,Colombia,1.60,2026-02-15,1400,1196,85.4,Unknown,inactive
P_BR_RPB_001,F_BR_001,Sample Reforestation Project E,Brazil,3.50,2026-02-18,3100,2800,90.3,,active
P_BR_RPB_002,F_BR_002,Sample Reforestation Project E,Brazil,2.80,2026-02-22,2450,2109,86.1,Animal Damage,active
P_BR_RPB_003,F_BR_003,Sample Reforestation Project E,Brazil,2.10,2026-03-01,1850,1742,94.2,,active
P_PE_BAP_003,F_PE_003,Sample Reforestation Project A,Peru,1.40,2026-03-05,1200,1068,89.0,Pest/Disease,active
P_CO_CVN_003,F_CO_003,Sample Reforestation Project C,Colombia,2.05,2026-03-10,1800,1530,85.0,Flooding,active
P_BR_RPB_004,F_BR_004,Sample Reforestation Project E,Brazil,1.75,2026-03-14,1550,1448,93.4,,active
P_PE_RAP_003,F_PE_013,Sample Reforestation Project B,Peru,2.60,2026-03-18,2300,2093,91.0,,active
